level,unit,word,translation
4,1,black,黑的
4,1,blanket,毯子
4,1,bride,新娘
4,1,broom,扫帚
4,1,clock,钟
4,1,club,俱乐部
4,1,crab,蟹
4,1,crocodile,鳄鱼（皮）
4,1,flag,旗（帜）
4,1,fly,苍蝇
4,1,glass,玻璃
4,1,globe,地球
4,2,dress,连衣裙
4,2,drum,鼓
4,2,friday,星期五
4,2,frog,青蛙
4,2,grass,草
4,2,green,绿色蔬菜
4,2,plate,盘
4,2,play,玩
4,2,sleep,睡眠
4,2,slide,滑行
4,2,tree,树
4,2,truck,卡车
4,3,fast,禁食期
4,3,smile,微笑
4,3,smoke,烟
4,3,snake,蛇
4,3,snow,雪
4,3,spoon,匙
4,3,spot,地点
4,3,stamp,邮票
4,3,stop,停留
4,3,swim,游泳
4,3,swing,摆动
4,3,test,测试
4,4,brush,刷（子）
4,4,catch,接
4,4,chick,雏鸟
4,4,dolphin,海豚
4,4,fish,鱼（肉）
4,4,lunch,午餐
4,4,phone,电话
4,4,shell,壳
4,4,ship,船
4,4,watch,看
4,4,whale,鲸
4,4,white,白色
4,5,bath,浴缸
4,5,duck,鸭子
4,5,father,父亲
4,5,mother,母亲
4,5,queen,女王
4,5,quilt,被子
4,5,rocket,火箭（弹）
4,5,teeth,牙( tooth的名词复数 )
4,5,that,不那么
4,5,think,想（到）
4,5,this,这样地
4,5,three,三岁
4,6,adult,成年人
4,6,bank,银行
4,6,belt,腰带
4,6,camp,营地
4,6,hand,手
4,6,king,国王
4,6,lamp,灯
4,6,long,长的
4,6,paint,油漆
4,6,pink,粉红色
4,6,tent,帐篷
4,6,wind,风
4,7,desk,书桌
4,7,scale,规模
4,7,school,学校
4,7,skunk,臭鼬
4,7,splash,稀里哗啦地溅落
4,7,splint,夹板
4,7,spray,水花
4,7,spring,春天
4,7,square,正方形
4,7,squid,乌贼
4,7,string,细绳
4,7,strong,强的
4,8,cage,笼子
4,8,cell phone,手机：一种便携式的通常无线的电话
4,8,cheese,奶酪
4,8,city,城市
4,8,giant,巨人
4,8,giraffe,长颈鹿
4,8,ice cream,冰淇淋：一种甜点
4,8,jeans,牛仔裤
4,8,legs,[解剖]腿（leg 的复数）
4,8,orange,橙
4,8,rice,稻
4,8,rose,玫瑰
